ID,BAD_LOAN,AMOUNT_REQUESTED,EXIST_MORTG_DEBT,EXIST_PROPERTY_VALUE,LOAN_REASON,JOB,EMPLOYED_YEARS,DEROG_REPORTS,DELINQ_CR_LINES,CR_LINES_AGE(MTS),NO_OF_RECENT_CR_LINES,NO_OF_CR_LINES,DEBT_TO_INCOME
25,1,2400,3995500.0,17180.0,HomeImp,Other,99990.0,0.0,0.0,14.56666667,3.0,4.0,2033.121487
26,1,2400,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.49108003,1.0,21.0,38.26360073
27,0,2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.81177486,0.0,13.0,29.68182705
28,1,2500,15000.0,20200.0,HomeImp,Other,18.0,0.0,0.0,136.06666669999998,1.0,19.0,2033.121487
29,1,2500,25116.0,36350.0,HomeImp,Other,10.0,1.0,2.0,276.9666667,0.0,9.0,2033.121487
30,0,2500,7229.0,44516.0,HomeImp,Self,99990.0,0.0,0.0,208.0,0.0,12.0,2033.121487
31,0,2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.7333333,0.0,12.0,2033.121487
32,1,2800,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,145.6333333,3.0,45.0,2033.121487
33,1,2800,4000.0,60850.0,HomeImp,Other,16.0,4.0,0.0,112.6333333,2.0,9.0,2033.121487
34,1,2900,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,165.33333330000005,2.0,26.0,2033.121487
35,0,2900,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.05113629
36,0,2900,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.5402975,0.0,13.0,29.91585903
38,1,2900,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0,282.8016592,3.0,37.0,49.20639579
41,1,3000,3995500.0,8800.0,HomeImp,Other,2.0,0.0,1.0,77.76666667,0.0,3.0,2033.121487
42,1,3000,3995500.0,33000.0,HomeImp,Other,1.0,0.0,1.0,23.3,1.0,2.0,2033.121487
43,1,3000,119826.0,193500.0,HomeImp,Other,8.0,0.0,0.0,130.0333585,0.0,27.0,2033.121487
44,1,3000,20000.0,29750.0,DebtCon,Other,2.0,0.0,0.0,187.0666667,0.0,12.0,2033.121487
46,1,3000,3995500.0,14100.0,HomeImp,Other,1.0,0.0,0.0,104.2,0.0,19.0,2033.121487
47,1,3000,47000.0,82700.0,HomeImp,ProfExe,10.0,0.0,1.0,262.1666667,5.0,26.0,2033.121487
48,1,3000,34542.0,45900.0,HomeImp,Mgr,8.5,0.0,2.0,62.36666667,0.0,10.0,2033.121487
49,0,3000,58000.0,71500.0,HomeImp,Mgr,10.0,100.0,2.0,211.9333333,0.0,25.0,2033.121487
50,0,3000,47000.0,56400.0,HomeImp,Office,21.0,0.0,0.0,201.8666667,0.0,20.0,2033.121487
51,1,3100,39589.0,36100.0,HomeImp,Other,1.5,0.0,0.0,153.16666669999995,1.0,14.0,2033.121487
52,0,3100,3995500.0,70400.0,Other,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
54,1,3200,48603.0,61000.0,HomeImp,ProfExe,28.0,0.0,4.0,122.03333329999998,1.0,25.0,2033.121487
55,1,3200,27200.0,40834.0,HomeImp,Other,99990.0,0.0,0.0,298.131564,0.0,7.0,35.55353879
56,1,3200,54000.0,64850.0,HomeImp,Other,1.0,0.0,0.0,121.8666667,3.0,21.0,2033.121487
57,0,3200,74864.0,87266.0,HomeImp,ProfExe,7.0,0.0,0.0,250.6312692,0.0,12.0,42.90999735
58,1,3200,23159.0,8559090.0,HomeImp,Mgr,20.0,100.0,2.0,117.8057478,0.0,9.0,0.524499215
59,1,3300,126541.0,134527.0,HomeImp,Sales,9.0,1.0,0.0,139.0,0.0,36.0,2033.121487
60,1,3300,130518.0,164317.0,DebtCon,Other,9.0,0.0,6.0,192.289149,0.0,33.0,35.73055919
61,1,3400,37000.0,52000.0,HomeImp,Office,2.0,0.0,1.0,183.2999156,0.0,6.0,2033.121487
62,1,3500,23200.0,38666.0,HomeImp,Other,11.0,0.0,0.0,162.3666667,0.0,14.0,2033.121487
63,1,3500,19400.0,20494.0,HomeImp,Other,5.0,0.0,0.0,95.93333333,0.0,9.0,2033.121487
65,1,3600,41900.0,52490.0,HomeImp,Mgr,3.0,0.0,0.0,72.03333333,2.0,4.0,2033.121487
67,0,3600,61327.0,76484.0,HomeImp,Mgr,9.0,100.0,2.0,202.5107752,0.0,25.0,41.51638970000001
68,0,3600,100693.0,114743.0,HomeImp,Office,6.0,0.0,0.0,88.47045214,0.0,14.0,29.39354338
69,1,3600,48507.0,61000.0,DebtCon,Office,13.0,1.0,4.0,97.4,0.0,17.0,2033.121487
72,1,3800,19135.0,97692.0,HomeImp,Mgr,1.6,1.0,6.0,252.6333333,1.0,25.0,2033.121487
73,0,3800,51180.0,63459.0,HomeImp,Office,20.0,0.0,0.0,203.7515336,0.0,20.0,20.06704205
74,0,3800,3995500.0,73189.0,Other,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,22.25394916
75,0,3800,11543.0,46045.0,HomeImp,Self,99990.0,0.0,0.0,204.6479917,0.0,11.0,42.17316588
76,1,3900,29896.0,45960.0,HomeImp,Other,11.0,0.0,0.0,146.1232422,0.0,14.0,24.47888119
77,1,3900,14500.0,22092.0,HomeImp,Other,3.5,0.0,1.0,150.3,5.0,8.0,2033.121487
78,0,3900,52825.0,63000.0,DebtCon,ProfExe,8.0,0.0,4.0,171.66666669999995,1.0,31.0,2033.121487
79,0,3900,102143.0,118742.0,HomeImp,Office,2.0,0.0,0.0,85.27736558,0.0,13.0,29.34392109
80,1,3900,21200.0,39000.0,DebtCon,Mgr,4.0,0.0,1.0,86.56666667,2.0,14.0,2033.121487
81,0,4000,105164.0,112774.0,HomeImp,Office,1.0,0.0,0.0,94.72487417,0.0,13.0,29.39092806
82,0,4000,54543.0,61777.0,HomeImp,Office,21.0,0.0,0.0,205.58668,0.0,19.0,21.80656346
84,1,4000,26572.0,31960.0,HomeImp,Office,11.0,0.0,0.0,117.79510390000002,0.0,8.0,41.28649195
86,1,4000,29562.0,37200.0,DebtCon,Other,6.0,0.0,0.0,92.13333333,1.0,26.0,2033.121487
87,1,4000,41700.0,76725.0,HomeImp,Other,0.5,0.0,3.0,136.1333333,0.0,15.0,2033.121487
88,1,4000,58000.0,69440.0,HomeImp,Other,3.5,0.0,1.0,168.66666669999995,0.0,18.0,2033.121487
89,1,4000,5700.0,18000.0,DebtCon,Other,99990.0,0.0,0.0,12.2,0.0,17.0,2033.121487
90,1,4000,45000.0,58350.0,HomeImp,Mgr,3.5,0.0,0.0,162.0,3.0,16.0,2033.121487
91,1,4000,7000.0,16020.0,HomeImp,Other,18.0,0.0,1.0,85.8,2.0,23.0,2033.121487
93,0,4000,3995500.0,45760.0,HomeImp,Other,0.0,0.0,0.0,6483.284926,0.0,0.0,2033.121487
95,0,4000,64240.0,63990.0,HomeImp,Sales,5.0,2.0,0.0,160.3,1.0,23.0,2033.121487
96,1,4000,74000.0,93000.0,HomeImp,ProfExe,2.6,1.0,3.0,186.6333333,170.0,9.0,2033.121487
98,0,4000,67625.0,80698.0,HomeImp,Mgr,11.0,100.0,1.0,212.3493039,0.0,25.0,39.12871763
100,1,4100,3995500.0,19132.0,HomeImp,Other,0.0,0.0,0.0,100.7746522,0.0,19.0,33.8409199
102,0,4100,57992.0,63797.0,DebtCon,ProfExe,7.0,0.0,4.0,165.50503700000004,1.0,31.0,22.27817437
103,0,4200,56544.0,59218.0,HomeImp,Office,19.0,0.0,0.0,211.0025991,1.0,20.0,19.02770443
104,1,4200,34800.0,50225.0,HomeImp,Other,2.0,1.0,0.0,93.5,1.0,5.0,2033.121487
105,0,4200,67700.0,77000.0,DebtCon,Sales,4.0,0.0,0.0,128.8333333,0.0,31.0,2033.121487
106,0,4200,44000.0,55085.0,DebtCon,Other,6.0,100.0,1.0,75.43333333,170.0,16.0,2033.121487
109,0,4300,71206.0,78698.0,DebtCon,Sales,3.0,0.0,0.0,129.93286899999998,0.0,31.0,34.18137652
110,0,4300,68815.0,79852.0,HomeImp,Other,6.0,0.0,0.0,105.1207088,0.0,14.0,41.80637615
111,0,4300,72021.0,80027.0,HomeImp,Other,2.0,2.0,0.0,263.9703003,0.0,5.0,36.43209394
112,0,4400,53969.0,63869.0,DebtCon,ProfExe,7.0,0.0,3.0,162.39001069999995,0.0,30.0,23.58107924
113,0,4400,3995500.0,60250.0,Other,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
114,1,4400,53091.0,64074.0,DebtCon,Office,14.0,1.0,3.0,89.86105825,0.0,17.0,39.15808483
115,0,4500,66127.0,79087.0,HomeImp,Other,4.0,1.0,0.0,81.34906509999998,0.0,15.0,40.70530876
116,0,4500,3995500.0,77182.0,Other,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,25.2272529
117,1,4500,39000.0,66000.0,HomeImp,Other,1.0,0.0,0.0,170.3666667,1.0,19.0,2033.121487
118,0,4500,71082.0,79247.0,HomeImp,Other,4.0,0.0,0.0,118.7604101,0.0,14.0,41.42111052
119,0,4500,3995500.0,49044.0,HomeImp,Other,0.0,0.0,0.0,6483.284926,0.0,0.0,11.6527388
120,1,4500,57000.0,8559090.0,HomeImp,Other,5.0,100.0,150.0,222.6,1.0,13.0,2033.121487
121,1,4500,34184.0,46000.0,HomeImp,Mgr,3.5,0.0,1.0,122.6,2.0,22.0,2033.121487
122,1,4500,66517.0,87000.0,DebtCon,ProfExe,10.0,0.0,4.0,125.8,0.0,34.0,2033.121487
123,0,4500,45500.0,50000.0,HomeImp,Other,6.0,0.0,0.0,86.16666667,0.0,18.0,2033.121487
124,1,4500,118000.0,146870.0,HomeImp,ProfExe,4.5,2.0,0.0,203.8666667,1.0,20.0,2033.121487
126,0,4700,67913.0,97205.0,Other,Mgr,2.0,0.0,0.0,142.8243915,0.0,24.0,35.22699719
127,0,4700,71855.0,88566.0,HomeImp,Other,2.0,2.0,0.0,283.9595381000001,0.0,5.0,36.47547328
128,0,4700,53918.0,59511.0,DebtCon,Other,6.0,100.0,0.0,54.13647743,170.0,15.0,34.41650781
129,1,4700,49100.0,58238.0,HomeImp,ProfExe,0.1,0.0,0.0,61.8,2.0,17.0,2033.121487
130,0,4700,88026.0,115506.0,HomeImp,ProfExe,6.0,0.0,0.0,182.2483316,0.0,27.0,29.20902258
133,0,4800,56067.0,63102.0,DebtCon,ProfExe,9.0,0.0,3.0,160.1463113,1.0,30.0,21.58376012
135,0,4900,58688.0,63348.0,DebtCon,ProfExe,9.0,0.0,3.0,179.1625747,2.0,31.0,22.54439284
137,1,4900,25597.0,23031.0,HomeImp,Other,5.0,0.0,0.0,101.7467664,0.0,8.0,33.24315698
139,1,4900,44000.0,59745.0,HomeImp,Other,10.0,0.0,0.0,81.5,3.0,13.0,2033.121487
140,0,4900,3995500.0,28437.5,HomeImp,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
142,1,4900,65576.0,65774.0,HomeImp,Other,6.0,1.0,2.0,61.64250608,1.0,14.0,40.59091002
143,0,4900,57461.0,68494.0,DebtCon,ProfExe,8.0,0.0,4.0,183.6356132,0.0,30.0,22.79542355
144,0,4900,3995500.0,69706.0,Other,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,33.70558774
146,0,5000,47479.0,61690.0,DebtCon,Other,5.0,100.0,0.0,65.03296901,170.0,16.0,36.69941492
147,0,5000,66839.0,87168.0,HomeImp,Other,4.0,0.0,0.0,122.5972226,0.0,15.0,40.61677935
149,0,5000,90059.0,113714.0,HomeImp,ProfExe,7.0,0.0,0.0,193.6364469,0.0,28.0,25.89731648
151,1,5000,40000.0,70500.0,HomeImp,Mgr,0.4,0.0,0.0,61.76666667,2.0,8.0,2033.121487
152,1,5000,100882.0,102700.0,HomeImp,Mgr,5.0,0.0,1.0,58.86666667,0.0,16.0,2033.121487
154,1,5000,63125.0,126500.0,HomeImp,Office,3.0,0.0,0.0,100.3,0.0,14.0,2033.121487
155,1,5000,100000.0,129693.5,HomeImp,Mgr,13.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
156,1,5000,3995500.0,132000.0,HomeImp,Other,17.5,0.0,2.0,121.9,0.0,14.0,2033.121487
157,1,5000,3995500.0,9100.0,HomeImp,Other,1.0,0.0,0.0,54.73333333,2.0,8.0,2033.121487
158,1,5000,34200.0,50830.0,HomeImp,Other,6.0,0.0,0.0,57.0,1.0,9.0,2033.121487
159,1,5000,3995500.0,71277.0,HomeImp,Other,10.0,0.0,0.0,72.43333333,1.0,12.0,2033.121487
161,1,5000,16600.0,25250.0,HomeImp,Other,6.0,0.0,0.0,88.7,1.0,3.0,2033.121487
162,1,5000,3995500.0,52000.0,HomeImp,Other,99990.0,0.0,1.0,285.3333333,0.0,6.0,2033.121487
165,1,5000,3995500.0,74500.0,HomeImp,Other,19.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
167,0,5000,73126.0,87500.0,DebtCon,Other,1.0,0.0,0.0,125.96666670000002,2.0,10.0,2033.121487
168,0,5000,72517.0,86250.0,DebtCon,Mgr,19.0,0.0,1.0,300.3666667,1.0,24.0,2033.121487
170,0,5000,39000.0,50340.0,HomeImp,Office,10.0,100.0,150.0,179.83333330000005,170.0,19.0,2033.121487
171,0,5000,3995500.0,26550.0,DebtCon,Other,1.7,0.0,0.0,276.9666667,1.0,14.0,2033.121487
172,0,5000,70470.0,77908.0,DebtCon,Other,5.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
173,0,5000,3995500.0,36375.0,HomeImp,Other,3.0,0.0,0.0,266.8,1.0,26.0,2033.121487
174,0,5000,74225.0,89640.0,DebtCon,ProfExe,0.3,100.0,150.0,6483.284926,170.0,710.0,2033.121487
175,0,5000,3995500.0,65400.0,HomeImp,Office,1.5,0.0,0.0,51.76666667,0.0,4.0,2033.121487
177,0,5000,78565.0,98500.0,DebtCon,ProfExe,24.0,0.0,0.0,51.76666667,3.0,14.0,2033.121487
178,0,5000,59900.0,80800.0,DebtCon,ProfExe,15.0,0.0,0.0,219.1333333,1.0,18.0,2033.121487
179,1,5000,10171.0,26809.0,HomeImp,Office,13.0,3.0,6.0,228.3,0.0,24.0,2033.121487
180,1,5000,78893.0,82600.0,HomeImp,Mgr,16.0,0.0,0.0,133.9,1.0,34.0,2033.121487
181,1,5000,85165.0,107940.0,HomeImp,Mgr,6.0,5.0,3.0,122.76666670000002,5.0,28.0,2033.121487
182,1,5000,68000.0,75616.0,DebtCon,ProfExe,0.1,0.0,0.0,131.86666670000002,0.0,30.0,2033.121487
184,1,5000,28000.0,36810.0,DebtCon,Other,2.0,1.0,0.0,222.2,1.0,6.0,2033.121487
185,1,5000,40000.0,32480.0,HomeImp,Other,8.0,3.0,2.0,163.3666667,1.0,16.0,2033.121487
186,1,5000,81748.0,8559090.0,DebtCon,ProfExe,14.0,1.0,2.0,144.06666669999996,2.0,17.0,2033.121487
187,0,5000,44674.0,59375.0,HomeImp,Office,10.0,100.0,150.0,178.6925087,170.0,19.0,26.44819746
188,1,5000,61999.0,75021.3,HomeImp,Other,5.0,0.0,0.0,97.1,0.0,23.0,2033.121487
189,0,5000,80153.0,97275.0,DebtCon,Other,1.0,0.0,0.0,120.6750632,2.0,10.0,37.51270841
190,0,5000,68739.0,93435.0,Other,Mgr,3.0,0.0,0.0,148.7204047,0.0,23.0,36.66927861
191,0,5000,51209.0,55320.0,DebtCon,Other,5.0,100.0,1.0,69.1074656,170.0,15.0,35.02507297
192,1,5000,46696.0,85202.0,HomeImp,Other,2.0,1.0,2.0,148.3406455,0.0,14.0,46.489874
193,0,5000,3995500.0,46281.0,HomeImp,Other,2.0,0.0,0.0,257.6522064,0.0,26.0,40.95258888
194,0,5000,66435.0,82819.0,HomeImp,Other,2.0,0.0,0.0,125.1306256,0.0,14.0,42.18353867
195,0,5100,179725.0,251962.0,DebtCon,Sales,99990.0,0.0,0.0,127.4988134,0.0,22.0,40.30825936
196,0,5100,85583.0,115341.0,HomeImp,ProfExe,7.0,0.0,0.0,177.9582551,1.0,28.0,26.25797013
197,0,5100,72891.0,80691.0,HomeImp,Other,1.0,1.0,0.0,273.88170519999994,0.0,6.0,39.85214652
198,1,5100,30755.0,46735.0,HomeImp,Other,10.0,0.0,0.0,69.0,0.0,17.0,2033.121487
199,0,5100,3995500.0,26715.0,DebtCon,Other,1.0,0.0,0.0,258.7892976,0.0,14.0,26.72234334
200,0,5100,87258.0,121382.0,HomeImp,ProfExe,6.0,0.0,0.0,181.6630402,0.0,28.0,25.44475915
201,0,5100,3995500.0,28291.0,DebtCon,Other,2.0,0.0,0.0,277.9445608,1.0,14.0,23.64469128
202,1,5100,9900.0,30451.0,HomeImp,Other,11.0,0.0,0.0,21.2,0.0,2.0,2033.121487
203,0,5100,93000.0,116875.0,HomeImp,Other,10.0,100.0,150.0,417.6333333,2.0,50.0,2033.121487
204,1,5100,15500.0,34000.0,DebtCon,Other,0.0,1.0,2.0,86.23333333,2.0,13.0,2033.121487
205,1,5100,129319.0,141875.0,HomeImp,Sales,7.0,1.0,0.0,157.8598021,0.0,36.0,25.65074122
206,0,5100,66834.0,87361.0,HomeImp,Other,0.0,2.0,0.0,290.034108,0.0,6.0,38.76698507
207,0,5100,73882.0,96031.0,DebtCon,Other,0.0,0.0,0.0,125.7874001,1.0,10.0,34.44607922
209,0,5100,62702.0,79784.0,HomeImp,Other,2.0,0.0,0.0,108.0725908,0.0,15.0,43.29013982
210,0,5200,3995500.0,36425.0,DebtCon,Other,2.0,0.0,0.0,266.8134646,1.0,14.0,23.79740106
211,0,5200,67000.0,77000.0,HomeImp,Other,9.0,0.0,1.0,119.7,0.0,25.0,2033.121487
212,0,5200,43039.0,53521.0,HomeImp,Office,11.0,100.0,150.0,184.2966873,170.0,19.0,24.41476318
213,0,5200,19000.0,26000.0,DebtCon,Other,0.0,1.0,0.0,17.2,10.0,7.0,2033.121487
214,1,5200,3995500.0,9500.0,DebtCon,Other,1.0,0.0,1.0,81.1,1.0,2.0,2033.121487
215,0,5200,91250.0,110000.0,HomeImp,Office,24.0,0.0,0.0,123.76666670000002,1.0,12.0,2033.121487
216,0,5200,16324.0,45187.0,HomeImp,Self,99990.0,0.0,0.0,221.1180817,0.0,11.0,42.71209384
217,1,5200,40564.0,39527.0,HomeImp,Other,0.0,0.0,0.0,157.77103569999997,1.0,13.0,72.67043331
218,0,5300,73698.0,84427.0,DebtCon,Other,4.0,100.0,150.0,6483.284926,170.0,710.0,19.13120118
220,1,5300,26908.0,36078.0,HomeImp,Other,99990.0,0.0,0.0,302.3587095000001,0.0,8.0,39.1969854
221,0,5300,3995500.0,49396.0,HomeImp,Other,0.0,0.0,0.0,6483.284926,0.0,0.0,12.04367058
222,0,5300,44993.0,50673.0,HomeImp,Office,7.0,100.0,150.0,184.7427672,170.0,18.0,27.90612273
223,1,5300,51000.0,64000.0,HomeImp,Mgr,10.0,1.0,0.0,98.33333333,0.0,12.0,2033.121487
224,0,5300,75958.0,91703.0,DebtCon,Other,0.0,0.0,0.0,124.1821788,1.0,10.0,34.59906019
225,0,5300,97132.0,117343.0,HomeImp,Office,22.0,0.0,0.0,109.9339079,1.0,11.0,35.83854270000001
226,0,5300,60826.0,80826.0,HomeImp,Mgr,10.0,100.0,1.0,212.8917461,0.0,25.0,38.59149403
227,0,5300,83552.0,96809.0,DebtCon,ProfExe,0.0,100.0,150.0,6483.284926,170.0,710.0,28.42396191
229,0,5300,50934.0,62957.0,HomeImp,Office,21.0,0.0,0.0,197.2419573,0.0,20.0,19.35050563
230,0,5400,53429.0,64505.0,DebtCon,Other,5.0,100.0,0.0,69.54243011,170.0,16.0,36.4802363
232,0,5400,47844.0,52040.0,HomeImp,Office,8.0,100.0,150.0,189.0343046,170.0,18.0,24.70113626
233,1,5400,45509.0,57453.0,DebtCon,Sales,4.0,0.0,0.0,95.6,0.0,22.0,2033.121487
234,1,5400,59720.0,63450.0,HomeImp,ProfExe,5.0,0.0,1.0,199.9,1.0,20.0,2033.121487
236,0,5400,68625.0,82304.0,DebtCon,Sales,2.0,0.0,0.0,136.63294419999997,0.0,30.0,32.05002349
237,0,5400,65814.0,85848.0,HomeImp,Other,4.0,0.0,0.0,122.9402886,0.0,15.0,44.09232568
239,1,5400,78300.0,88000.0,HomeImp,ProfExe,8.0,0.0,0.0,102.5,3.0,19.0,2033.121487
240,0,5400,48152.0,55760.0,DebtCon,Other,6.0,100.0,0.0,78.45212577,170.0,16.0,35.763638
241,0,5500,70481.0,82446.0,HomeImp,Other,8.0,0.0,1.0,116.5919769,0.0,24.0,37.61268272
242,0,5500,3995500.0,35402.0,HomeImp,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,35.27207374
243,0,5500,87765.0,101053.0,DebtCon,ProfExe,22.0,0.0,0.0,55.55804904,2.0,13.0,31.37554242
244,0,5500,52897.0,65054.0,HomeImp,Office,20.0,0.0,0.0,189.2953185,0.0,19.0,20.6541289
245,1,5500,24700.0,35675.0,DebtCon,Other,1.0,0.0,3.0,153.93333330000004,3.0,27.0,2033.121487
246,1,5500,3995500.0,43132.0,HomeImp,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
248,1,5500,21359.0,30000.0,DebtCon,Other,7.0,3.0,2.0,130.8,3.0,14.0,2033.121487
249,1,5500,3995500.0,13770.0,HomeImp,Mgr,5.0,0.0,1.0,167.3666667,1.0,8.0,2033.121487
250,0,5500,93051.0,115374.0,HomeImp,ProfExe,6.0,0.0,0.0,187.0205188,1.0,27.0,27.64674851
251,0,5500,87438.0,116679.0,HomeImp,ProfExe,6.0,0.0,0.0,186.424416,1.0,27.0,28.4175309
252,0,5500,78059.0,78179.0,DebtCon,Other,5.0,100.0,150.0,6483.284926,170.0,710.0,20.67931358
253,0,5500,72147.0,69918.0,HomeImp,Sales,4.0,2.0,0.0,158.5344979,0.0,23.0,43.40443024
254,1,5500,40584.0,46645.0,HomeImp,Other,4.0,0.0,1.0,136.3206375,0.0,13.0,34.49470897
255,1,5500,3995500.0,12972.0,HomeImp,Other,1.0,0.0,1.0,82.29426635,0.0,2.0,36.9867441
256,1,5500,37368.0,48502.0,HomeImp,Mgr,9.0,0.0,2.0,48.995845,0.0,10.0,33.12648397
257,0,5500,3995500.0,66251.0,HomeImp,Office,1.0,0.0,0.0,43.72233695,0.0,3.0,41.45204353
258,0,5500,71644.0,72696.0,HomeImp,Sales,4.0,2.0,0.0,150.8658451,0.0,22.0,40.44256779
260,0,5600,53793.0,66379.0,HomeImp,Office,22.0,0.0,0.0,206.0991341,0.0,19.0,18.36954053
261,0,5600,69435.0,83489.0,DebtCon,ProfExe,14.0,0.0,0.0,200.418434,1.0,17.0,22.84109285
262,0,5600,29648.0,39907.0,HomeImp,ProfExe,11.0,0.0,0.0,180.5630691,0.0,13.0,21.55494966
263,0,5600,76407.0,77485.0,HomeImp,Other,9.0,0.0,0.0,91.68377063,0.0,24.0,37.77335098
264,1,5600,5000.0,66700.0,HomeImp,Other,31.0,1.0,1.0,204.0666667,0.0,11.0,2033.121487
265,1,5600,55160.0,86800.0,HomeImp,Other,3.0,1.0,1.0,148.1333333,1.0,14.0,2033.121487
266,0,5600,41439.0,53893.0,HomeImp,Office,8.0,100.0,150.0,181.3229899,170.0,19.0,24.65139574
268,0,5700,100934.0,111496.0,HomeImp,Office,23.0,0.0,0.0,117.4995929,0.0,12.0,38.75056267
269,0,5700,3995500.0,74685.0,Other,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,24.27486528
270,0,5700,49514.0,58249.0,HomeImp,Office,21.0,0.0,0.0,212.5391151,0.0,21.0,21.25802688
271,0,5700,76948.0,85753.0,HomeImp,Other,7.0,0.0,0.0,128.4764515,0.0,25.0,37.85968784
272,0,5700,28127.0,36524.0,HomeImp,ProfExe,10.0,0.0,0.0,181.2829568,0.0,13.0,24.33953357
273,0,5700,3995500.0,68591.0,HomeImp,Office,0.0,0.0,0.0,69.64566047,0.0,4.0,41.18503956
274,0,5700,26927.0,35461.0,DebtCon,Other,0.0,1.0,0.0,21.79935215,10.0,6.0,29.43966424
275,0,5700,49806.0,82242.0,DebtCon,Other,3.0,0.0,0.0,210.3474786,3.0,30.0,31.2434087
276,1,5700,70000.0,84579.0,DebtCon,Sales,0.1,0.0,0.0,95.9,1.0,17.0,2033.121487
277,1,5700,58400.0,75000.0,HomeImp,ProfExe,4.0,0.0,0.0,177.5,2.0,26.0,2033.121487
