ID,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
101,4100,58500,65000,HomeImp,Other,8,1,2,63.93333333,2,15,
102,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.505037,1,31,22.27817437
103,4200,56544,59218,HomeImp,Office,19,0,0,211.0025991,1,20,19.02770443
104,4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,
105,4200,67700,77000,DebtCon,Sales,4,0,0,128.8333333,0,31,
106,4200,44000,55085,DebtCon,,6,,1,75.43333333,,16,
107,4200,66272,82953,HomeImp,Other,3,0,0,110.2786626,0,15,43.45058791
108,4200,50216,58541,HomeImp,Office,19,0,0,209.8713022,0,19,20.20803267
109,4300,71206,78698,DebtCon,Sales,3,0,0,129.932869,0,31,34.18137652
110,4300,68815,79852,HomeImp,Other,6,0,0,105.1207088,0,14,41.80637615
111,4300,72021,80027,HomeImp,Other,2,2,0,263.9703003,0,5,36.43209394
112,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.3900107,0,30,23.58107924
113,4400,,60250,,,,,,,,,
114,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.15808483
115,4500,66127,79087,HomeImp,Other,4,1,0,81.3490651,0,15,40.70530876
116,4500,,77182,,,,,,,,,25.2272529
117,4500,39000,66000,HomeImp,Other,1,0,0,170.3666667,1,19,
118,4500,71082,79247,HomeImp,Other,4,0,0,118.7604101,0,14,41.42111052
119,4500,,49044,HomeImp,,0,0,0,,0,0,11.6527388
120,4500,57000,,HomeImp,Other,5,,,222.6,1,13,
121,4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,
122,4500,66517,87000,DebtCon,ProfExe,10,0,4,125.8,0,34,
123,4500,45500,50000,HomeImp,Other,6,0,0,86.16666667,0,18,
124,4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.8666667,1,20,
125,4500,90000,105800,HomeImp,Other,6,2,3,80.1,3,10,
126,4700,67913,97205,,Mgr,2,0,0,142.8243915,0,24,35.22699719
127,4700,71855,88566,HomeImp,Other,2,2,0,283.9595381,0,5,36.47547328
128,4700,53918,59511,DebtCon,,6,,0,54.13647743,,15,34.41650781
129,4700,49100,58238,HomeImp,ProfExe,0.1,0,0,61.8,2,17,
130,4700,88026,115506,HomeImp,ProfExe,6,0,0,182.2483316,0,27,29.20902258
131,4700,26900,45000,HomeImp,ProfExe,9,1,2,90.46666667,1,16,
132,4800,67317,97191,,Mgr,3,0,0,137.3197248,0,23,34.27529378
133,4800,56067,63102,DebtCon,ProfExe,9,0,3,160.1463113,1,30,21.58376012
134,4800,80482,88342,HomeImp,ProfExe,7,0,0,275.0323948,0,11,43.71763511
135,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.1625747,2,31,22.54439284
136,4900,65873,90408,,Mgr,2,0,0,141.858999,0,23,37.76961861
137,4900,25597,23031,HomeImp,Other,5,0,0,101.7467664,0,8,33.24315698
138,4900,67794,84630,HomeImp,Other,4,0,0,112.5734189,0,15,41.67399636
139,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,
140,4900,,28437.5,HomeImp,,,,,,,,
141,4900,170986,245300,DebtCon,Sales,,0,0,131.9333333,0,22,
142,4900,65576,65774,HomeImp,Other,6,1,2,61.64250608,1,14,40.59091002
143,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.6356132,0,30,22.79542355
144,4900,,69706,,,,,,,,,33.70558774
145,5000,,34846,HomeImp,,,,,,,,33.35465263
146,5000,47479,61690,DebtCon,,5,,0,65.03296901,,16,36.69941492
147,5000,66839,87168,HomeImp,Other,4,0,0,122.5972226,0,15,40.61677935
148,5000,12457,53448,HomeImp,Self,,0,0,207.1434813,0,12,44.10795169
149,5000,90059,113714,HomeImp,ProfExe,7,0,0,193.6364469,0,28,25.89731648
150,5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,
151,5000,40000,70500,HomeImp,Mgr,0.4,0,0,61.76666667,2,8,
152,5000,100882,102700,HomeImp,Mgr,5,0,1,58.86666667,0,16,
153,5000,31000,47350,HomeImp,ProfExe,12,,,,,,
154,5000,63125,126500,HomeImp,Office,3,0,0,100.3,0,14,
155,5000,100000,129693.5,HomeImp,Mgr,13,,,,,,
156,5000,,132000,HomeImp,Other,17.5,0,2,121.9,0,14,
157,5000,,9100,HomeImp,Other,1,0,0,54.73333333,2,8,
158,5000,34200,50830,HomeImp,Other,6,0,0,57,1,9,
159,5000,,71277,HomeImp,Other,10,0,0,72.43333333,1,12,
160,5000,123000,157500,HomeImp,Mgr,9,,,,,,
161,5000,16600,25250,HomeImp,Other,6,0,0,88.7,1,3,
162,5000,,52000,HomeImp,Other,,0,1,285.3333333,0,6,
163,5000,22700,34225,HomeImp,Other,4,0,0,74.63333333,3,9,
164,5000,6000,38575,HomeImp,Self,7,0,1,335.0333333,3,42,
165,5000,,74500,HomeImp,Other,19,,,,,,
166,5000,,94119,HomeImp,Other,19,,,,,,
167,5000,73126,87500,DebtCon,Other,1,0,0,125.9666667,2,10,
168,5000,72517,86250,DebtCon,Mgr,19,0,1,300.3666667,1,24,
169,5000,26037,35000,HomeImp,ProfExe,12,0,0,182.6333333,0,13,
170,5000,39000,50340,HomeImp,Office,10,,,179.8333333,,19,
171,5000,,26550,DebtCon,Other,1.7,0,0,276.9666667,1,14,
172,5000,70470,77908,DebtCon,,5,,,,,,
173,5000,,36375,HomeImp,Other,3,0,0,266.8,1,26,
174,5000,74225,89640,DebtCon,ProfExe,0.3,,,,,,
175,5000,,65400,HomeImp,Office,1.5,0,0,51.76666667,0,4,
176,5000,,37500,HomeImp,Other,,0,3,107.1333333,10,5,
177,5000,78565,98500,DebtCon,ProfExe,24,0,0,51.76666667,3,14,
178,5000,59900,80800,DebtCon,ProfExe,15,0,0,219.1333333,1,18,
179,5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,
180,5000,78893,82600,HomeImp,Mgr,16,0,0,133.9,1,34,
181,5000,85165,107940,HomeImp,Mgr,6,5,3,122.7666667,5,28,
182,5000,68000,75616,DebtCon,ProfExe,0.1,0,0,131.8666667,0,30,
183,5000,71571,85100,DebtCon,ProfExe,1.4,0,1,82.13333333,0,13,
184,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,
185,5000,40000,32480,HomeImp,Other,8,3,2,163.3666667,1,16,
186,5000,81748,,DebtCon,ProfExe,14,1,2,144.0666667,2,17,
187,5000,44674,59375,HomeImp,Office,10,,,178.6925087,,19,26.44819746
188,5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,
189,5000,80153,97275,DebtCon,Other,1,0,0,120.6750632,2,10,37.51270841
190,5000,68739,93435,,Mgr,3,0,0,148.7204047,0,23,36.66927861
191,5000,51209,55320,DebtCon,,5,,1,69.1074656,,15,35.02507297
192,5000,46696,85202,HomeImp,Other,2,1,2,148.3406455,0,14,46.489874
193,5000,,46281,HomeImp,Other,2,0,0,257.6522064,0,26,40.95258888
194,5000,66435,82819,HomeImp,Other,2,0,0,125.1306256,0,14,42.18353867
195,5100,179725,251962,DebtCon,Sales,,0,0,127.4988134,0,22,40.30825936
196,5100,85583,115341,HomeImp,ProfExe,7,0,0,177.9582551,1,28,26.25797013
197,5100,72891,80691,HomeImp,Other,1,1,0,273.8817052,0,6,39.85214652
198,5100,30755,46735,HomeImp,Other,10,0,0,69,0,17,
199,5100,,26715,DebtCon,Other,1,0,0,258.7892976,0,14,26.72234334
200,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.6630402,0,28,25.44475915
201,5100,,28291,DebtCon,Other,2,0,0,277.9445608,1,14,23.64469128
202,5100,9900,30451,HomeImp,Other,11,0,0,21.2,0,2,
203,5100,93000,116875,HomeImp,Other,10,,,417.6333333,2,50,
204,5100,15500,34000,DebtCon,Other,0,1,2,86.23333333,2,13,
205,5100,129319,141875,HomeImp,Sales,7,1,0,157.8598021,0,36,25.65074122
206,5100,66834,87361,HomeImp,Other,0,2,0,290.034108,0,6,38.76698507
207,5100,73882,96031,DebtCon,Other,0,0,0,125.7874001,1,10,34.44607922
208,5100,74071,97064,DebtCon,Other,0,0,0,121.0759726,2,9,36.40172955
209,5100,62702,79784,HomeImp,Other,2,0,0,108.0725908,0,15,43.29013982
210,5200,,36425,DebtCon,Other,2,0,0,266.8134646,1,14,23.79740106
211,5200,67000,77000,HomeImp,Other,9,0,1,119.7,0,25,
212,5200,43039,53521,HomeImp,Office,11,,,184.2966873,,19,24.41476318
213,5200,19000,26000,DebtCon,Other,0,1,0,17.2,10,7,
214,5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,
215,5200,91250,110000,HomeImp,Office,24,0,0,123.7666667,1,12,
216,5200,16324,45187,HomeImp,Self,,0,0,221.1180817,0,11,42.71209384
217,5200,40564,39527,HomeImp,Other,0,0,0,157.7710357,1,13,72.67043331
218,5300,73698,84427,DebtCon,,4,,,,,,19.13120118
219,5300,66987,65111,HomeImp,Sales,4,1,0,175.3287038,1,22,40.44257039
220,5300,26908,36078,HomeImp,Other,,0,0,302.3587095,0,8,39.1969854
221,5300,,49396,HomeImp,,0,0,0,,0,0,12.04367058
222,5300,44993,50673,HomeImp,Office,7,,,184.7427672,,18,27.90612273
223,5300,51000,64000,HomeImp,Mgr,10,1,0,98.33333333,0,12,
224,5300,75958,91703,DebtCon,Other,0,0,0,124.1821788,1,10,34.59906019
225,5300,97132,117343,HomeImp,Office,22,0,0,109.9339079,1,11,35.8385427
226,5300,60826,80826,HomeImp,Mgr,10,,1,212.8917461,0,25,38.59149403
227,5300,83552,96809,DebtCon,ProfExe,0,,,,,,28.42396191
228,5300,47449,63895,HomeImp,Office,19,0,0,208.162714,0,20,19.7621137
229,5300,50934,62957,HomeImp,Office,21,0,0,197.2419573,0,20,19.35050563
230,5400,53429,64505,DebtCon,,5,,0,69.54243011,,16,36.4802363
231,5400,,65474,HomeImp,Office,1,0,0,40.709849,0,4,37.84877104
232,5400,47844,52040,HomeImp,Office,8,,,189.0343046,,18,24.70113626
233,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,
234,5400,59720,63450,HomeImp,ProfExe,5,0,1,199.9,1,20,
235,5400,86922,119846,HomeImp,ProfExe,5,0,0,185.0763473,1,28,26.3548893
236,5400,68625,82304,DebtCon,Sales,2,0,0,136.6329442,0,30,32.05002349
237,5400,65814,85848,HomeImp,Other,4,0,0,122.9402886,0,15,44.09232568
238,5400,,75254,,,,,,,,,23.16374295
239,5400,78300,88000,HomeImp,ProfExe,8,0,0,102.5,3,19,
240,5400,48152,55760,DebtCon,,6,,0,78.45212577,,16,35.763638
241,5500,70481,82446,HomeImp,Other,8,0,1,116.5919769,0,24,37.61268272
242,5500,,35402,HomeImp,,,,,,,,35.27207374
243,5500,87765,101053,DebtCon,ProfExe,22,0,0,55.55804904,2,13,31.37554242
244,5500,52897,65054,HomeImp,Office,20,0,0,189.2953185,0,19,20.6541289
245,5500,24700,35675,DebtCon,Other,1,0,3,153.9333333,3,27,
246,5500,,43132,HomeImp,Other,,,,,,,
247,5500,43486,81600,DebtCon,,4,0,0,216.1333333,4,30,
248,5500,21359,30000,DebtCon,Other,7,3,2,130.8,3,14,
249,5500,,13770,HomeImp,Mgr,5,0,1,167.3666667,1,8,
250,5500,93051,115374,HomeImp,ProfExe,6,0,0,187.0205188,1,27,27.64674851
251,5500,87438,116679,HomeImp,ProfExe,6,0,0,186.424416,1,27,28.4175309
252,5500,78059,78179,DebtCon,,5,,,,,,20.67931358
253,5500,72147,69918,HomeImp,Sales,4,2,0,158.5344979,0,23,43.40443024
254,5500,40584,46645,HomeImp,Other,4,0,1,136.3206375,0,13,34.49470897
255,5500,,12972,HomeImp,Other,1,0,1,82.29426635,0,2,36.9867441
256,5500,37368,48502,HomeImp,Mgr,9,0,2,48.995845,0,10,33.12648397
257,5500,,66251,HomeImp,Office,1,0,0,43.72233695,0,3,41.45204353
258,5500,71644,72696,HomeImp,Sales,4,2,0,150.8658451,0,22,40.44256779
259,5500,85845,122205,DebtCon,ProfExe,5,0,0,172.2132767,1,26,32.67664088
260,5600,53793,66379,HomeImp,Office,22,0,0,206.0991341,0,19,18.36954053
261,5600,69435,83489,DebtCon,ProfExe,14,0,0,200.418434,1,17,22.84109285
262,5600,29648,39907,HomeImp,ProfExe,11,0,0,180.5630691,0,13,21.55494966
263,5600,76407,77485,HomeImp,Other,9,0,0,91.68377063,0,24,37.77335098
264,5600,5000,66700,HomeImp,Other,31,1,1,204.0666667,0,11,
265,5600,55160,86800,HomeImp,Other,3,1,1,148.1333333,1,14,
266,5600,41439,53893,HomeImp,Office,8,,,181.3229899,,19,24.65139574
267,5600,15275,47954,HomeImp,Self,,0,0,204.335245,0,12,42.39776964
268,5700,100934,111496,HomeImp,Office,23,0,0,117.4995929,0,12,38.75056267
269,5700,,74685,,,,,,,,,24.27486528
270,5700,49514,58249,HomeImp,Office,21,0,0,212.5391151,0,21,21.25802688
271,5700,76948,85753,HomeImp,Other,7,0,0,128.4764515,0,25,37.85968784
272,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.2829568,0,13,24.33953357
273,5700,,68591,HomeImp,Office,0,0,0,69.64566047,0,4,41.18503956
274,5700,26927,35461,DebtCon,Other,0,1,0,21.79935215,10,6,29.43966424
275,5700,49806,82242,DebtCon,,3,0,0,210.3474786,3,30,31.2434087
276,5700,70000,84579,DebtCon,Sales,0.1,0,0,95.9,1,17,
277,5700,58400,75000,HomeImp,ProfExe,4,0,0,177.5,2,26,
278,5700,80437,109647,HomeImp,ProfExe,9.5,0,0,104.4,0,14,
279,5700,77213,92661,DebtCon,Sales,0,0,0,97.13317095,1,16,41.77788863
280,5700,62319,82923,HomeImp,Other,4,0,0,117.6739652,0,15,42.46486629
281,5700,71556,79538,HomeImp,Other,2,0,0,92.64308456,0,15,41.21001247
282,5700,,39052,HomeImp,Other,3,0,0,272.2206283,0,25,39.89610462
283,5700,74172,79846,DebtCon,ProfExe,0,0,0,157.0097747,0,28,47.41522866
284,5700,28116,33450,DebtCon,Other,0,1,0,15.39658739,9,7,30.0170133
285,5700,,64910,,,,,,,,,33.85046122
286,5700,,69172,HomeImp,Office,1,0,0,48.85366706,0,3,38.77368596
287,5800,,36385,HomeImp,Other,2,0,0,266.5533944,1,25,43.30976454
288,5800,,41119,HomeImp,Other,2,0,0,261.4052186,0,26,42.19194156
289,5800,75000,90543,DebtCon,Mgr,18,0,0,300.4872058,1,23,38.94057536
290,5800,79296,86885,DebtCon,Mgr,19,0,1,307.9748816,1,23,39.95910877
291,5800,27791,46833,DebtCon,Mgr,3,0,0,83.28906275,1,13,30.18780539
292,5800,172595,250155,DebtCon,Sales,,0,0,126.4009836,0,21,43.20775979
293,5800,,34704,HomeImp,,,,,,,,34.17405555
294,5800,,73804,HomeImp,Office,1,0,0,71.76655716,0,4,41.28742339
295,5800,46595,58191,HomeImp,Other,5,0,0,80.13174641,0,17,24.14015367
296,5900,,28000,DebtCon,Self,1,2,1,36.76666667,1,8,
297,5900,70973,77989,HomeImp,Other,7,0,0,120.3794143,0,24,41.44250046
298,5900,,33100,HomeImp,Other,,0,0,238.6,1,2,
299,5900,,51189,HomeImp,,1,0,0,,0,0,12.74918065
300,5900,82912,91175,DebtCon,ProfExe,2,,,,,,27.59527352
301,5900,25972,41856,DebtCon,Other,2,0,2,157.9600114,3,27,40.62827818
302,5900,74187,78976,HomeImp,Other,9,0,1,118.442491,0,24,40.11040743
303,5900,,66903,,,,,,,,,32.78292683
304,5900,106650,,DebtCon,Mgr,1,0,6,250.5666667,4,23,
305,6000,,69492,,,,,,,,,32.97719723
306,6000,95232,115977,HomeImp,Office,22,0,0,149.0229081,1,12,37.95433691
307,6000,47625,85925,HomeImp,Office,0.1,2,1,154.1333333,4,26,
308,6000,24600,30500,HomeImp,Other,4.5,0,1,116.1,8,34,
309,6000,65000,94355,,Other,26,1,3,69.3,1,34,
310,6000,,,HomeImp,Office,13,,2,122.7666667,,23,
311,6000,33600,,HomeImp,Other,2,0,0,140.9333333,1,20,
312,6000,42000,58305,DebtCon,Other,19,0,0,90,2,13,
313,6000,32446,54904,HomeImp,Other,2,0,0,51.73333333,1,9,
314,6000,9660,35900,DebtCon,Other,8,0,1,136.3,3,6,
315,6000,22859,32200,DebtCon,Other,4,0,0,83.33333333,3,20,
316,6000,16878,25850,,Mgr,1,0,1,218.6,5,34,
317,6000,72951,80000,HomeImp,Other,22.8,0,0,343.9,1,47,
318,6000,43000,57460,HomeImp,Other,1.6,1,,101.5,,13,
319,6000,53500,64790,DebtCon,Other,0.1,0,2,105.4,3,18,
320,6000,69876,94394.07,HomeImp,Other,0,0,1,179.5666667,0,32,
321,6000,51000,86125,HomeImp,ProfExe,6,0,0,222.1666667,2,24,
322,6000,53227,68700,HomeImp,Mgr,3,0,2,122.7333333,0,23,
323,6000,,43300,HomeImp,Other,,,,100.9333333,,9,
324,6000,14000,61493,HomeImp,Office,23,0,0,321.6333333,1,13,
325,6000,40000,54600,HomeImp,ProfExe,4,0,4,101.4,0,19,
326,6000,18793,27750,HomeImp,Mgr,6,0,3,119.7,0,8,
327,6000,179397,200000,DebtCon,ProfExe,5,6,0,90.3,6,29,
328,6000,,95500,HomeImp,Mgr,6,1,2,129.9,1,22,
329,6000,79046,103048,HomeImp,Other,0,0,0,181.696538,0,32,37.28998992
330,6000,,53190,HomeImp,,0,0,0,,0,0,15.174415
331,6000,,43683,HomeImp,Other,,,,,,,21.93549881
332,6000,129731,154113,HomeImp,ProfExe,12,0,0,213.5333333,0,19,
333,6100,48500,62500,DebtCon,Mgr,7,,4,111.3,2,11,
334,6100,,47400,,,,,,,,,
335,6100,91704,114799,HomeImp,Office,22,0,0,129.2500896,1,12,36.74676624
336,6100,47604,54966,HomeImp,Other,5,0,0,70.69532973,0,18,24.76674453
337,6100,,35250,HomeImp,Other,,,,303,,12,
338,6100,62751,95617,HomeImp,Other,1,0,0,138.6468632,1,13,31.75727069
339,6100,48300,53388,HomeImp,Office,9,,,178.4896022,,19,26.72002818
340,6100,68743,65321,HomeImp,Sales,3,1,0,153.0667831,0,22,40.15052706
341,6100,79636,87276,HomeImp,Other,20,0,0,350.4361376,0,47,28.84827658
342,6100,,46830,HomeImp,,0,0,1,,0,0,13.30601308
343,6100,78753,95433,DebtCon,ProfExe,0,,,,,,28.92511742
344,6100,77265,97944,DebtCon,ProfExe,0,,,,,,28.87646306
345,6200,75657,84368,DebtCon,Sales,4,0,0,122.244945,0,30,32.55254334
346,6200,171582,245730,DebtCon,Sales,,0,0,135.1089303,0,22,39.78381813
347,6200,,33909,HomeImp,,,,,,,,34.51740452
348,6200,46601,59486,HomeImp,Other,5,0,0,84.63211066,0,18,25.35001036
349,6200,60354,87596,HomeImp,ProfExe,5,0,0,210.1730647,2,23,34.05481124
350,6200,45356,82054,DebtCon,,2,0,0,201.3344875,4,29,29.66171016
351,6200,,41657,HomeImp,Other,,,,293.9587236,,11,30.19763073
352,6200,,,DebtCon,Self,3,,,80.5,2,17,
353,6200,,80078,,,,,,,,,25.37554416
354,6200,42100,57385,DebtCon,Other,8.5,0,1,164.8,1,28,
355,6200,70793,71552,HomeImp,Sales,3,2,0,162.9451569,0,23,40.31539659
356,6200,73881,98550,HomeImp,Other,0,0,1,182.8787798,0,31,37.19944569
357,6200,45787,64854,DebtCon,,4,,1,63.11702323,,16,36.53874734
358,6200,75121,96462,DebtCon,ProfExe,0,,,,,,27.16765596
359,6200,,51732,,,,,,,,,12.32470709
360,6200,133882,155222,HomeImp,ProfExe,9,0,0,212.5376432,0,19,20.61678366
361,6200,75623,89634,HomeImp,Other,24,0,0,324.6868294,0,47,28.2855321
362,6200,45564,61956,HomeImp,Other,2,0,,101.1670603,,13,38.67514015
363,6300,99469,116260,HomeImp,Office,23,0,0,124.7455955,1,12,35.64227011
364,6300,55000,69000,DebtCon,ProfExe,13,0,0,130.0666667,0,20,
