BAD_LOAN,AMOUNT_REQUESTED,EXIST_MORTG_DEBT,EXIST_PROPERTY_VALUE,EMPLOYED_YEARS,DEROG_REPORTS,DELINQ_CR_LINES,CR_LINES_AGE(MTS),NO_OF_CR_LINES,DEBT_TO_INCOME
0,5500,87438,116679,6,0,0,186.424416,27,28.4175309
0,5500,72147,69918,4,2,0,158.5344979,23,43.40443024
1,5500,40584,46645,4,0,1,136.3206375,13,34.49470897
1,5500,74074.7,12972,1,0,1,82.29426635,2,36.9867441
0,5500,74074.7,66251,1,0,0,43.72233695,3,41.45204353
0,5500,71644,72696,4,2,0,150.8658451,22,40.44256779
1,5500,85845,122205,5,0,0,172.2132767,26,32.67664088
0,5600,53793,66379,22,0,0,206.0991341,19,18.36954053
0,5600,69435,83489,14,0,0,200.418434,17,22.84109285
0,5600,29648,39907,11,0,0,180.5630691,13,21.55494966
0,5600,76407,77485,9,0,0,91.68377063,24,37.77335098
1,5600,55160,86800,3,1,1,148.1333333,14,29.93680196
0,5600,15275,47954,11.2,0,0,204.335245,12,42.39776964
0,5700,100934,111496,23,0,0,117.4995929,12,38.75056267
0,5700,49514,58249,21,0,0,212.5391151,21,21.25802688
0,5700,76948,85753,7,0,0,128.4764515,25,37.85968784
0,5700,74074.7,68591,0,0,0,69.64566047,4,41.18503956
0,5700,26927,35461,0,1,0,21.79935215,6,29.43966424
0,5700,49806,82242,3,0,0,210.3474786,30,31.2434087
1,5700,70000,84579,0.1,0,0,95.9,17,34.95869211
1,5700,80437,109647,9.5,0,0,104.4,14,26.84609068
0,5700,71556,79538,2,0,0,92.64308456,15,41.21001247
0,5700,74074.7,39052,3,0,0,272.2206283,25,39.89610462
0,5700,28116,33450,0,1,0,15.39658739,7,30.0170133
0,5800,74074.7,36385,2,0,0,266.5533944,25,43.30976454
0,5800,75000,90543,18,0,0,300.4872058,23,38.94057536
1,5800,27791,46833,3,0,0,83.28906275,13,30.18780539
0,5800,74074.7,34704,11.2,0.2,0.5,179.2,21.3,34.17405555
0,5800,74074.7,73804,1,0,0,71.76655716,4,41.28742339
0,5800,46595,58191,5,0,0,80.13174641,17,24.14015367
1,5900,74074.7,28000,1,2,1,36.76666667,8,28.21572307
0,5900,70973,77989,7,0,0,120.3794143,24,41.44250046
1,5900,74074.7,33100,11.2,0,0,238.6,2,34.8506202
0,5900,74074.7,51189,1,0,0,179.2,0,12.74918065
0,5900,82912,91175,2,0.2,0.5,179.2,21.3,27.59527352
1,5900,25972,41856,2,0,2,157.9600114,27,40.62827818
0,5900,74187,78976,9,0,1,118.442491,24,40.11040743
0,5900,74074.7,66903,11.2,0.2,0.5,179.2,21.3,32.78292683
1,5900,106650,102269,1,0,6,250.5666667,23,29.72900067
0,6000,74074.7,69492,11.2,0.2,0.5,179.2,21.3,32.97719723
0,6000,95232,115977,22,0,0,149.0229081,12,37.95433691
1,6000,47625,85925,0.1,2,1,154.1333333,26,34.60372343
1,6000,24600,30500,4.5,0,1,116.1,34,31.91837954
1,6000,65000,94355,26,1,3,69.3,34,35.11786542
1,6000,74074.7,102269,13,0.2,2,122.7666667,23,34.98055294
1,6000,33600,102269,2,0,0,140.9333333,20,15.52390909
1,6000,42000,58305,19,0,0,90,13,28.92730664
1,6000,9660,35900,8,0,1,136.3,6,23.4153056
1,6000,22859,32200,4,0,0,83.33333333,20,31.83987053
1,6000,16878,25850,1,0,1,218.6,34,29.7058928
0,6000,53500,64790,0.1,0,2,105.4,18,28.66549764
0,6000,69876,94394.07,0,0,1,179.5666667,32,32.66569205
0,6000,51000,86125,6,0,0,222.1666667,24,29.49010679
0,6000,53227,68700,3,0,2,122.7333333,23,27.16997595
1,6000,40000,54600,4,0,4,101.4,19,28.40099914
1,6000,179397,200000,5,6,0,90.3,29,36.65196841
1,6000,74074.7,95500,6,1,2,129.9,22,33.11538318
0,6000,79046,103048,0,0,0,181.696538,32,37.28998992
0,6000,74074.7,53190,0,0,0,179.2,0,15.174415
0,6000,129731,154113,12,0,0,213.5333333,19,26.68028842
0,6100,48500,62500,7,0.2,4,111.3,11,37.82944963
0,6100,47604,54966,5,0,0,70.69532973,18,24.76674453
0,6100,74074.7,35250,11.2,0.2,0.5,303,12,36.52763662
1,6100,62751,95617,1,0,0,138.6468632,13,31.75727069
0,6100,48300,53388,9,0.2,0.5,178.4896022,19,26.72002818
0,6100,68743,65321,3,1,0,153.0667831,22,40.15052706
0,6100,79636,87276,20,0,0,350.4361376,47,28.84827658
0,6100,74074.7,46830,0,0,1,179.2,0,13.30601308
0,6100,78753,95433,0,0.2,0.5,179.2,21.3,28.92511742
0,6100,77265,97944,0,0.2,0.5,179.2,21.3,28.87646306
0,6200,171582,245730,11.2,0,0,135.1089303,22,39.78381813
0,6200,46601,59486,5,0,0,84.63211066,18,25.35001036
0,6200,60354,87596,5,0,0,210.1730647,23,34.05481124
0,6200,45356,82054,2,0,0,201.3344875,29,29.66171016
0,6200,74074.7,41657,11.2,0.2,0.5,293.9587236,11,30.19763073
1,6200,74074.7,102269,3,0.2,0.5,80.5,17,34.98055294
1,6200,42100,57385,8.5,0,1,164.8,28,28.92730664
0,6200,73881,98550,0,0,1,182.8787798,31,37.19944569
0,6200,45787,64854,4,0.2,1,63.11702323,16,36.53874734
0,6200,75121,96462,0,0.2,0.5,179.2,21.3,27.16765596
0,6200,74074.7,51732,11.2,0.2,0.5,179.2,21.3,12.32470709
0,6200,75623,89634,24,0,0,324.6868294,47,28.2855321
0,6300,99469,116260,23,0,0,124.7455955,12,35.64227011
0,6300,55000,69000,13,0,0,130.0666667,20,30.6247113
0,6300,74074.7,72890,1,0,0,41.25011359,3,39.19806822
0,6300,44226,57779,7,0.2,0,63.62641325,16,33.11182911
0,6300,74074.7,39050,11.2,0.2,0.5,294.4780476,12,31.44775041
0,6300,78724,80355,24,0,0,335.0741426,46,31.1772613
1,6300,59793,98314,2.2,0,0,120.7333333,8,30.79495602
1,6300,65875,76000,0.8,2,0,84,12,36.58504336
0,6300,45582,89005,2,0,0,209.3580469,30,29.59595551
0,6300,92659,117352,6,0,0,199.0119272,27,26.52004952
0,6300,58052,70091,9,0,4,153.7804385,30,21.71959598
1,6300,12476,32559,12,3,6,227.1299051,23,23.31951678
0,6300,69357,73726,3,2,0,163.2839332,22,42.40781425
0,6300,26655,29792,1,1,0,12.75926745,6,28.36185178
1,6400,25144,45200,25,0,2,128,17,34.18089057
0,6400,99131,125652,8,0.2,0.5,419.3751538,50,42.24492757
0,6400,76577,83200,5,0.2,0.5,179.2,21.3,22.05503421
0,6400,47251,58157,0,0,0.5,104.7924684,13,36.41688697
0,6400,53476,70157,7,0,3,164.3154099,30,21.13798157
0,6400,81116,86148,8,0,0,262.1754261,11,42.06826818
0,6400,17491,63614,23,0,0,325.2993087,12,40.24440437
0,6400,65215,74332,9,0.2,1,213.8321032,24,40.64461955
0,6400,62746,75016,12,0,0,133.1015478,20,40.18812313
0,6400,76732,78084,8,0,0,109.1930214,26,37.96455432
0,6400,70035,78635,3,0,0,147.0771635,31,31.20612976
0,6400,39687,51666,9,0.2,0.5,177.591354,19,26.1209597
0,6400,51436,91284,4,0,0,209.6428984,30,31.97197121
0,6400,44968,62747,0,1,0.5,101.3914453,12,36.60294734
0,6400,9113,46351,11.2,0,0,202.2507958,11,45.11431939
0,6400,28041,33438,1,1,0,10.42564285,6,29.75370028
0,6400,57887,74776,3,0,1,126.3286437,22,28.75634543
0,6500,47949,53102,9,0.2,0.5,180.8412499,19,27.83900666
0,6500,74074.7,37448,11.2,0.2,0.5,333.2308999,11,29.01198058
1,6500,60054,70434,1,0,0,127.0627016,21,37.80035293
0,6500,80739,97630,1,0.2,0.5,179.2,21.3,30.53126454
0,6500,63144,76754,2,0,2,129.0777116,23,29.05543313
0,6500,78741,90599,0,0.2,0.5,179.2,21.3,29.19886067
0,6500,51724,87770,4,0,0,209.3263116,29,30.3434486
1,6500,13600,102269,14,2,5,115.3666667,16,15.51766358
1,6500,48000,61000,1,1,0,97.2997561,38,35.08245941
1,6500,65000,80400,15,0,0,224.8666667,13,39.02885493
0,6500,22789,35836,1,0,0,110.5666667,30,30.37831315
0,6500,75113,115900,29,0,0,332.7333333,38,22.17158207
0,6500,55000,88300,29,0,0,234.4,17,29.78864156
0,6500,60000,70000,9,0,0,54.76666667,24,28.87613889
1,6500,96314,105800,27,0,0,475.8,40,38.42688653
0,6500,81145,117530,29,0,0,327.2006385,38,34.34583769
0,6500,74074.7,70886,11.2,0.2,0.5,179.2,21.3,23.47088075
1,6500,183860,208910,4,6,0,86.45222694,29,69.8005248
0,6500,58689,72557,0,0,1,94.00805286,18,34.89841307
0,6600,62380,89742,31,0,0,232.5272907,16,26.16049489
0,6600,74376,84855,3,0.2,0.5,179.2,21.3,20.02835351
0,6600,74074.7,48800,0,0,0,179.2,0,12.21943615
0,6600,68733,81973,5,0,0,96.9776672,14,42.21104678
0,6600,95450,112630,23,0,0,122.8155841,12,36.77345872
0,6600,74074.7,46516,0,0,0,179.2,0,14.84599073
0,6600,98415,126636,11,0.2,0.5,423.2096241,49,40.95709032
0,6700,74074.7,55396,11.2,0.2,0.5,179.2,21.3,15.70399156
0,6700,55113,56486,4,0,0,84.41703046,17,23.64285383
1,6700,60301,70543,5,0,0,195.7808633,19,32.39759341
0,6700,74074.7,30544,2,0,0,283.8972313,14,24.12045156
0,6700,49367,59609,6,0,0,99.30370078,17,25.23136638
0,6700,58741,68225,9,0,3,173.5744163,31,23.58701323
1,6700,27510,42495,2,0,2,171.5264892,27,41.42859751
1,6700,74074.7,81239,19,0.2,0.5,179.2,21.3,40.8949317
0,6700,69773,83014,0,1,0,263.1734343,5,37.70699649
0,6700,48430,64358,0,1,0.5,108.3517475,13,38.89419475
0,6700,29662,36195,1,0,0,112.1370807,30,38.52863281
0,6700,66587,70710,9,1,0,43.92338263,24,39.73857627
1,6700,74074.7,20631,4,0,0,174.7218341,8,62.24645112
0,6700,54161,59714,20,0,0,209.2063004,20,20.20351771
0,6700,134616,155034,13,1,0,215.4224064,19,19.49387198
0,6800,136951,160306,11,0,0,219.7356734,18,20.8850935
0,6800,138691,160063,12,0,0,208.420843,19,19.33336736
0,6800,49809,65074,7,0.2,4,116.6327333,10,39.21502891
0,6800,76074,88178,22,0,0,341.4650556,46,27.52324614
0,6800,56155,57912,21,0,0,206.3063213,20,21.79851308
1,6800,74074.7,27410,6,1,0,2.033333333,5,27.99702843
0,6800,178559,247611,11.2,0,0,127.2341411,22,42.08390168
0,6800,74074.7,72310,1,0,0,48.81883648,3,40.78739323
0,6800,75964,88754,19,0,1,298.7004822,23,39.10750164
0,6900,75880,113612,1,0,0,230.8055881,38,17.96588344
0,6900,70717,87466,2,0,0,112.5890607,15,41.4280899
0,6900,53776,51952,5,0,0,87.90011834,17,22.28699748
1,6900,53328,58088,2,0,0,101.5319079,21,35.76405836
1,6900,57257,63752,10,2,0,138.234778,22,38.37246088
1,6900,37055,83000,1,0,0,122.2666667,43,31.5225264
0,6900,97662,110046,24,0,0,111.1233973,11,37.25315085
0,6900,49000,68280,1,0,0,61.9,22,34.93946483
0,6900,74074.7,57067,11.2,0.2,0.5,179.2,21.3,14.37098595
0,6900,50387,68443,7,0.2,3,105.827329,10,40.71766885
0,6900,49932,66042,20,0,0,204.4845828,19,21.85549413
0,6900,74074.7,36191,11.2,0.2,0.5,311.8698993,12,30.79062077
0,7000,73873,111781,0,0,0,231.7999135,38,19.27357946
0,7000,74795,99149,1,0,1,175.5714428,32,34.44966467
0,7000,78284,98214,0,0,1,171.8383862,31,36.24796303
0,7000,58128,93740,5,0,0,213.3630277,24,34.47530193
0,7000,81335,81018,22,0,0,341.6105761,47,27.76729977
0,7000,52287,87972,7,0,0,211.2844132,24,33.46140225
0,7000,58339,72432,10,0.2,1,197.3383979,24,39.84308734
0,7000,46238,66842,4,0,0,90.38040908,11,36.30952679
1,7000,27290,63500,6,0.2,0.5,179.2,21.3,33.94863699
1,7000,18000,46520,17,0,1,183.1,23,36.30304035
1,7000,66000,86300,3,1,1,242.4333333,8,33.52696921
1,7000,46000,66660,1,0,1,138.2333333,9,38.89939906
0,7000,120000,175450,8,0,0,219.1666667,20,34.21206661
0,7000,58843,75300,1.5,0,0,103.6666667,7,32.02697472
0,7000,7000,31200,5,0,0,265.0666667,12,30.65817127
0,7000,29000,49000,11,0,0,234.4,32,31.86517252
0,7000,5768,26600,11.2,0.2,0.5,179.2,21.3,31.30907392
0,7000,56636,76353,15,0,0,229.3,36,29.03085109
0,7000,55000,63000,5,0,0,84.73333333,20,33.36603879
0,7000,46225,59000,16,0,4,219.1333333,37,29.50199596
1,7000,53194,81150,14,7,0,183.6333333,28,28.30728091
1,7000,83000,97635,5.6,3,0,141,10,32.29617811
1,7000,138841,160000,11,8,0,86.2,36,22.63714792
1,7000,25000,49840,0.6,0,0,139,13,33.18573268
1,7000,18000,25000,6.5,1,0,205.9666667,19,29.7058928
1,7000,74500,81600,2,2,0,340.9,29,32.90122555
1,7000,64300,119500,1,1,0,54.83333333,8,28.27094161
1,7000,74074.7,96783,20,0.2,0.5,179.2,21.3,40.73031534
0,7000,129959,161301,11,0,0,209.9862995,18,21.91795226
0,7000,58114,93391,6,0,0,200.0777551,24,31.73651179
0,7000,16047,67750,21,0,0,315.3214527,12,38.6936558
1,7100,54000,74800,7.5,1,1,71,18,34.57629176
0,7100,74074.7,74753,2,0,0,48.85464465,4,41.3025469
0,7100,98490,114457,23,0,0,116.1000871,11,35.60189425
0,7100,54700,68500,19,0,0,155.2,12,34.16740952
0,7100,74074.7,40185,3,0,0,272.9226847,25,41.91689953
0,7100,25896,33580,1,0,0,29.85636517,7,28.27147416
0,7100,120176,180104,8,0,0,221.6073242,18,32.67435897
0,7100,57863,70969,0,0,0,65.87204481,21,26.82949019
0,7100,53273,54378,5,0,0,84.83724997,17,22.86119965
1,7200,54600,65000,14,2,1,98.43333333,9,29.97214226
0,7200,62329,78007,8,0,0,55.35880309,23,38.64027711
0,7200,57912,84806,15,0,0,241.5142498,35,35.06267566
0,7200,98691,115750,22,0,0,118.0001423,11,37.72035861
0,7200,36264,48240,15,0,0,82.16666667,12,31.23156313
1,7200,46000,67000,24,0,0,142,14,38.89939906
1,7200,43705,50000,9,0,2,235.3666667,16,32.0632394
0,7200,74074.7,38061,11.2,0.2,0.5,299.7527261,12,31.88003318
1,7200,15637,39660,6,0,1,354.2397634,42,33.62413345
0,7200,74074.7,74610,1,0,0,40.18213482,3,37.94125377
0,7200,71667,117325,0,0,1,241.0560781,38,18.51055133
1,7200,74074.7,76723,10,0,0,70.19389019,11,41.25070626
